statea,stateb,start,end,conttype
SWD,DEN,1945,2000,Water12
SWD,DEN,2000,2006,Water12
COL,ECU,1854,2006,Land
LBR,SIE,1961,2006,Land
GDR,SWD,1954,1990,Water150
EST,FIN,1991,2006,Water24
CHN,ROK,1949,2006,Water150
KEN,ZAN,1963,1964,Water150
MAL,INS,1963,2006,Land
MAL,INS,1957,1963,Water24
CHN,BHU,1971,2006,Land
GRN,AAB,1981,2006,Water400
TAJ,CHN,1991,2006,Land
PAK,MYA,1948,2006,Land
MLI,BFO,1960,2006,Land
ETH,ERI,1993,2006,Land
COS,PAN,1920,2006,Land
DRC,SUD,1960,2006,Land
SAL,NIC,1900,2006,Water24
IRN,BAH,1971,2006,Water150
QAT,OMA,1971,2006,Water400
IRN,OMA,1971,2006,Water150
IRQ,QAT,1971,2006,Water400
THI,DRV,1975,2006,Water400
CAM,DRV,1975,2006,Land
ARM,IRN,1991,2006,Land
KUW,BAH,1971,2006,Water400
CHA,LIB,1960,2006,Land
CHN,PRK,1948,2006,Land
TRI,SUR,1975,2006,Water400
YPR,OMA,1971,1990,Land
UKG,GMY,1990,2006,Water400
ARM,GRG,1991,2006,Land
KEN,SUD,1963,2006,Land
YUG,BOS,1992,2006,Land
USR,TUR,1991,2006,Water400
USR,TUR,1816,1991,Land
BAR,AAB,1981,2006,Water400
BEL,GMY,1990,2006,Land
ITA,YUG,1944,1992,Land
ITA,YUG,1992,2006,Water150
GFR,AUS,1955,1990,Land
QAT,UAE,1971,2006,Land
YEM,OMA,1990,2006,Land
GMY,CZE,1990,1992,Land
MAG,COM,1975,2006,Water400
GMY,USR,1990,2006,Water400
GAM,SEN,1965,2006,Land
PER,BRA,1839,2006,Land
THI,INS,1949,2006,Water150
LAO,RVN,1954,1975,Land
ZIM,BOT,1966,2006,Land
CHN,IND,1947,2006,Land
USR,NOR,1947,2006,Land
STP,CAO,1975,2006,Water400
DOM,SKN,1983,2006,Water400
NTH,GFR,1955,1990,Land
MEX,HON,1899,2006,Water400
TAZ,SEY,1976,2006,Water400
GFR,NOR,1955,1990,Water400
LUX,GFR,1955,1990,Land
IRN,AFG,1920,2006,Land
TUR,IRQ,1932,2006,Land
ETH,YAR,1952,1990,Water12
DRV,RVN,1954,1975,Land
YUG,GRC,1944,1993,Land
THI,RVN,1954,1975,Water400
NOR,DEN,1945,2006,Water150
GUY,BRA,1966,2006,Land
ZAM,MAW,1964,2006,Land
MZM,SEY,1976,2006,Water400
PNG,FSM,1991,2006,Water400
TRI,GRN,1974,2006,Water150
LEB,ISR,1948,2006,Land
POL,CZE,1945,1992,Land
YAR,YPR,1967,1990,Land
SPN,ITA,1816,2006,Water400
SEN,MAA,1960,2006,Land
SAU,BAH,1971,1986,Water24
SAU,BAH,1986,2006,Land
NTH,BEL,1945,2006,Land
BEL,GFR,1955,1990,Land
