hostlev,dispnum,year,month,numab,b_abb,a_abb,b_win,a_win,b_yield,a_yield,stalemate,compromise,released,unclear,joins_war,b_fatal,a_fatal,b_hiact,a_hiact,b_hostlev,a_hostlev,b_maj,a_maj,pa_win,pb_win,pa_yield,pb_yield,pa_fatal,pb_fatal,pa_hiact,pb_hiact,p_dispnum,p_stalemate,p_compromise,p_released,p_unclear,p_joins_war,r_milexp,r_milpers,r_totalpop,r_urbanpop,contig,target,pa_hiact_s,pb_hiact_s
4,1374,1950,1,2,TAW,MYA,0,0,0,0,1,0,0,0,0,176.0,176.0,14,17,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3.17517192873,50.0,0.416498429789,1.52070393375,None,Military,None,None
4,1308,1950,2,2,PAK,IND,0,0,0,0,1,0,0,0,0,13.0,13.0,17,17,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.544694637408,0.721407624633,0.20826530242,0.161311795509,Land,Military,None,None
4,3411,1950,2,2,SYR,ISR,0,0,0,0,1,0,0,0,0,0.0,13.0,15,16,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.754080046629,0.410256410256,2.77821939587,1.38317757009,None,Military,None,None
3,3197,1950,4,2,GRC,BUL,0,0,0,0,1,0,0,0,0,0.0,0.0,12,0,3,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4.63541115462,0.918660287081,1.04344228382,1.48682170543,None,Diplomatic,None,None
5,51,1950,6,17,CHN,AUL,0,0,0,0,1,0,0,0,0,1000.0,376.0,20,20,5,5,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,15.1057044998,105.263157895,69.9216285609,8.74165323509,None,Military,None,None
5,51,1950,6,17,CHN,BEL,0,0,0,0,1,0,0,0,0,1000.0,176.0,20,20,5,5,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,15.3247064462,54.0540540541,66.198518347,42.8498871332,None,Military,None,None
5,51,1950,6,17,CHN,CAN,0,0,0,0,1,0,0,0,0,1000.0,376.0,20,20,5,5,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,5.71028029038,88.8888888889,41.631287763,11.9161958569,None,Military,None,None
5,51,1950,6,17,COL,CHN,0,0,0,0,1,0,0,0,0,176.0,1000.0,20,20,5,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0161559812353,0.00425,0.0198185312185,0.0514684577901,None,Military,None,None
5,51,1950,6,17,FRN,CHN,0,0,0,0,1,0,0,0,0,376.0,1000.0,20,20,5,5,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.582204065676,0.14875,0.072979197012,0.181535624918,None,Military,None,None
5,51,1950,6,17,GRC,CHN,0,0,0,0,1,0,0,0,0,176.0,1000.0,20,20,5,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0513682564504,0.048,0.0132298400564,0.0252601079942,None,Military,None,None
5,51,1950,6,17,NEW,CHN,0,0,0,0,1,0,0,0,0,0.0,1000.0,20,20,5,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0107842064113,0.00225,0.00333631176679,0.00971947846701,None,Military,None,None
5,51,1950,6,17,NTH,CHN,0,0,0,0,1,0,0,0,0,176.0,1000.0,20,20,5,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0925699765442,0.0565,0.0176852501097,0.0838140392467,None,Military,None,None
5,51,1950,6,17,PHI,CHN,0,0,0,0,1,0,0,0,0,63.0,1000.0,20,20,5,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0150539483972,0.00725,0.0354526839999,0.0524430396418,Water400,Military,None,None
5,51,1950,6,17,ROK,CHN,0,0,0,0,1,0,0,0,0,1000.0,1000.0,20,20,5,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0125097732604,0.02725,0.0355960684678,0.0823653364941,Water150,Military,None,None
5,51,1950,6,17,THI,CHN,0,0,0,0,1,0,0,0,0,176.0,1000.0,20,20,5,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.00926700547303,0.011,0.0343335857133,0.0474911102331,None,Military,None,None
5,51,1950,6,17,TUR,CHN,0,0,0,0,1,0,0,0,0,750.0,1000.0,20,20,5,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0773557466771,0.171,0.0363182365809,0.043408402476,None,Military,None,None
5,51,1950,6,17,UKG,CHN,0,0,0,0,1,0,0,0,0,750.0,1000.0,20,20,5,5,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.928910867866,0.17225,0.088506685738,0.500329250626,None,Military,None,None
5,51,1950,6,17,USA,CHN,0,0,0,0,1,0,0,0,0,1000.0,1000.0,20,20,5,5,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,5.69155590305,0.365,0.266259711238,1.15801396023,None,Military,None,None
4,1306,1950,6,2,PAK,AFG,0,0,0,0,1,0,0,0,0,63.0,63.0,17,17,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,42.8444348947,3.28,8.32998437151,12.7992957746,Land,Military,None,None
4,2008,1950,6,2,UKG,TAW,0,0,0,0,1,0,0,0,0,0.0,0.0,17,17,4,4,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,29.2417332234,2.29666666667,6.81513397065,12.9305650102,None,Military,None,None
4,3400,1950,7,2,SYR,ISR,0,0,0,1,0,0,0,0,0,0.0,0.0,15,0,4,1,0,0,0,0,0,0,13.0,0.0,16,15,1,1,1,1,1,1,0.754080046629,0.410256410256,2.77821939587,1.38317757009,None,Military,Attack,Seizure
4,2009,1950,8,2,UKG,CHN,0,0,0,0,1,0,0,0,0,0.0,0.0,17,17,4,4,1,1,0,0,0,0,1000.0,750.0,20,20,1,1,1,1,1,1,0.928910867866,0.17225,0.088506685738,0.500329250626,None,Military,BeginWar,BeginWar
3,2122,1950,10,2,PER,ECU,0,0,0,0,1,0,0,0,0,0.0,0.0,10,0,3,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3.00839583567,2.58333333333,2.47100775194,1.78555798687,Land,Diplomatic,None,None
4,3427,1950,10,2,SYR,ISR,0,0,0,0,1,0,0,0,0,13.0,13.0,17,17,4,4,0,0,0,0,1,0,13.0,0.0,16,15,2,2,2,2,2,2,0.754080046629,0.410256410256,2.77821939587,1.38317757009,None,Military,Attack,Seizure
4,2010,1950,11,2,FRN,CHN,0,0,0,0,1,0,0,0,0,13.0,13.0,17,17,4,4,1,1,0,0,0,0,1000.0,376.0,20,20,1,1,1,1,1,1,0.582204065676,0.14875,0.072979197012,0.181535624918,None,Military,BeginWar,BeginWar
3,2088,1950,11,2,IND,CHN,0,0,0,0,1,0,0,0,0,0.0,0.0,11,7,3,3,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.143109069586,0.08525,0.626507941226,0.593546687739,Land,Diplomatic,None,None
4,3370,1950,11,2,ISR,EGY,0,0,1,0,0,0,0,0,0,0.0,0.0,16,16,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.464090888598,1.05405405405,0.0614828209765,0.129289511841,Land,Military,None,None
4,2052,1951,2,3,TAW,CHN,0,0,0,0,1,0,0,0,0,13.0,13.0,17,17,4,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0355213316096,0.166666666667,0.0134577075647,0.0408965788439,Water12,Military,None,None
4,2052,1951,2,3,USA,CHN,0,0,0,0,1,0,0,0,0,0.0,13.0,7,17,3,4,1,1,0,0,0,0,1000.0,1000.0,20,20,1,1,1,1,1,1,10.7944408533,1.083,0.268284571013,1.17213265172,None,Military,BeginWar,BeginWar
4,2991,1951,2,2,UKG,CHN,0,0,0,0,1,0,0,0,0,0.0,0.0,0,16,1,4,1,1,0,0,0,0,1000.0,750.0,17,17,2,2,2,2,2,2,1.03936069813,0.275333333333,0.087585095879,0.502713330712,None,Military,Clash,Clash
4,1079,1951,3,2,PAK,IND,0,0,0,0,1,0,0,0,0,13.0,13.0,17,17,4,4,0,0,0,0,0,0,13.0,13.0,17,17,1,1,1,1,1,1,0.637130933588,0.675213675214,0.210346165381,0.163697293629,Land,Military,Clash,Clash
4,2992,1951,3,2,UKG,TAW,0,0,0,0,1,0,0,0,0,0.0,0.0,0,15,1,4,1,0,0,0,0,0,0.0,0.0,17,17,1,1,1,1,1,1,29.2601839804,1.652,6.5081735101,12.2923076923,None,Military,Clash,Clash
4,2180,1951,5,2,PAK,AFG,0,0,0,0,1,0,0,0,0,0.0,0.0,0,16,1,4,0,0,0,0,0,0,63.0,63.0,17,17,1,1,1,1,1,1,43.2345766307,3.95,8.40734631035,12.9063545151,Land,Military,Clash,Clash
3,3195,1951,5,3,UKG,IRN,0,0,1,0,0,0,0,0,0,0.0,0.0,7,7,3,3,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,42.1935576986,6.71544715447,3.03365932681,7.9601494396,None,Diplomatic,None,None
4,1023,1951,8,2,NTH,INS,0,0,0,0,1,0,0,0,0,0.0,0.0,0,15,1,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.964902983575,0.545,0.12720445166,0.566544566545,None,Military,None,None
4,1155,1951,8,2,PER,ECU,0,0,0,0,1,0,0,0,0,13.0,13.0,17,17,4,4,0,0,0,0,0,0,0.0,0.0,0,10,1,1,1,1,1,1,5.84954381133,2.91666666667,2.44739222189,1.81876332623,Land,Military,None,Mobilize
4,3198,1951,9,2,UKG,INS,0,0,0,0,0,0,1,0,0,0.0,0.0,0,15,1,4,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,11.13829603,2.065,0.62662816493,3.34484563056,None,Military,None,None
4,3372,1951,9,2,ISR,EGY,0,0,0,1,0,0,0,0,0,0.0,63.0,16,16,4,4,0,0,0,0,0,1,0.0,0.0,16,16,1,1,1,1,1,1,0.453762917161,0.974025974026,0.0723869550685,0.138154844692,Land,Military,Attack,Attack
4,7,1951,10,2,UKG,EGY,1,0,0,0,0,0,0,0,0,13.0,63.0,17,17,4,4,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,34.048174657,10.7272727273,2.41426729695,4.44506258693,None,Military,None,None
3,3371,1951,12,2,ISR,EGY,0,0,0,0,1,0,0,0,0,0.0,0.0,0,12,1,3,0,0,0,0,1,1,63.0,0.0,16,16,2,2,2,2,2,2,0.453762917161,0.974025974026,0.0723869550685,0.138154844692,Land,Diplomatic,Attack,Attack
4,3401,1951,12,2,SYR,ISR,0,0,0,0,1,0,0,0,0,0.0,0.0,16,12,4,3,0,0,0,0,1,0,26.0,13.0,16,15,3,3,3,3,3,3,0.735165783886,0.426666666667,2.36147757256,1.32214765101,None,Military,Attack,Seizure
4,3413,1951,12,2,SYR,ISR,0,0,0,0,1,0,0,0,0,0.0,13.0,17,17,4,4,0,0,0,0,1,0,26.0,13.0,16,15,4,4,4,4,4,4,0.735165783886,0.426666666667,2.36147757256,1.32214765101,None,Military,Attack,Seizure
4,3414,1952,1,2,SYR,ISR,0,0,0,0,0,0,1,0,0,0.0,0.0,0,15,1,4,0,0,0,0,1,0,39.0,13.0,17,17,5,5,5,5,5,5,1.57205390517,0.466666666667,2.28375855632,1.32698412698,None,Military,Clash,Clash
3,2022,1952,2,2,THI,FRN,0,0,0,0,1,0,0,0,0,0.0,0.0,8,0,3,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0126716368456,0.0671755725191,0.491761095373,0.261708770934,None,Diplomatic,None,None
4,3200,1952,5,2,TUR,BUL,0,0,0,0,1,0,0,0,0,0.0,0.0,17,17,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2.51407719436,2.80526315789,3.01759450172,2.60820367751,Land,Military,None,None
4,1703,1952,6,5,YUG,HUN,0,0,0,0,1,0,0,0,0,13.0,0.0,16,12,4,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3.95860410244,2.15882352941,1.76616549259,0.756626506024,Land,Military,None,None
4,1097,1952,7,2,CHL,ARG,0,0,0,1,0,0,0,0,0,0.0,0.0,0,14,1,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.43723159847,0.645161290323,0.356373429084,0.147326674501,None,Military,None,None
4,1295,1952,7,2,GRC,BUL,1,0,0,0,0,0,0,0,0,13.0,0.0,17,17,4,4,0,0,0,0,0,0,0.0,0.0,0,12,1,1,1,1,1,1,1.72702782132,0.9,1.06295532646,1.42149929279,None,Military,None,ViolateBorder
4,1702,1952,8,2,USA,ECU,0,0,0,0,0,0,1,0,0,0.0,0.0,0,15,1,4,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,6415.33717657,303.0,46.1761430246,92.8456790123,None,Military,None,None
3,3402,1952,8,2,SYR,ISR,0,0,0,0,1,0,0,0,0,0.0,0.0,7,0,3,1,0,0,0,0,1,0,39.0,13.0,17,17,6,6,6,6,6,6,1.57205390517,0.466666666667,2.28375855632,1.32698412698,None,Diplomatic,Clash,Clash
4,2626,1952,10,2,PAK,IND,0,0,0,0,1,0,0,0,0,0.0,0.0,16,1,4,2,0,0,0,0,0,0,26.0,26.0,17,17,2,2,2,2,2,2,0.722957811704,0.628808864266,0.212028972567,0.165881205818,Land,Military,Clash,Clash
4,2990,1952,10,2,UKG,TAW,0,0,0,0,1,0,0,0,0,0.0,0.0,0,16,1,4,1,0,0,0,0,0,0.0,0.0,17,0,2,2,2,2,2,2,47.6371028807,1.744,6.2405265748,11.2606132075,None,Military,Clash,None
4,3374,1952,12,2,ISR,EGY,0,0,0,0,1,0,0,0,0,0.0,0.0,15,13,4,4,0,0,0,0,1,1,63.0,0.0,16,16,3,3,3,3,3,3,0.202970890069,0.925925925926,0.0749638475533,0.140062249889,Land,Military,Attack,Attack
4,3373,1953,1,2,ISR,EGY,0,0,0,0,1,0,0,0,0,13.0,63.0,16,16,4,4,0,0,0,0,1,1,63.0,0.0,16,16,4,4,4,4,4,4,0.203841504873,0.882352941176,0.0752403955703,0.136276391555,Land,Military,Attack,Attack
4,50,1953,2,5,ROK,CHN,0,0,0,0,1,0,0,0,0,0.0,63.0,1,17,2,4,0,1,0,0,0,0,1000.0,1000.0,20,20,1,1,1,1,1,1,0.0325206198869,0.165137614679,0.0347364679598,0.095753798208,Water150,Military,BeginWar,BeginWar
4,50,1953,2,5,TAW,CHN,0,0,0,0,1,0,0,0,0,63.0,63.0,17,17,4,4,0,1,0,0,0,0,13.0,13.0,17,17,1,1,1,1,1,1,0.0573755862903,0.196592398427,0.0142733827562,0.0478639137774,Water12,Military,Clash,Clash
