"StateAbb","COWName","MAPName"
"AFG","Afghanistan","Afghanistan"
"ALB","Albania","Albania"
"ALG","Algeria","Algeria"
"AND","Andorra","Andorra"
"ANG","Angola","Angola"
"AAB","Antigua & Barbuda","Antigua and Barbuda"
"ARG","Argentina","Argentina"
"ARM","Armenia","Armenia"
"AUL","Australia","Australia"
"AUS","Austria","Austria"
"AZE","Azerbaijan","Azerbaijan"
"BHM","Bahamas","Bahamas"
"BAH","Bahrain","Bahrain"
"BNG","Bangladesh","Bangladesh"
"BAR","Barbados","Barbados"
"BLR","Belarus","Belarus"
"BEL","Belgium","Belgium"
"BLZ","Belize","Belize"
"BEN","Benin","Benin"
"BHU","Bhutan","Bhutan"
"BOL","Bolivia","Bolivia"
"BOS","Bosnia and Herzegovina","Bosnia and Herzegovina"
"BOT","Botswana","Botswana"
"BRA","Brazil","Brazil"
"BRU","Brunei","Brunei Darussalam"
"BUL","Bulgaria","Bulgaria"
"BFO","Burkina Faso","Burkina Faso"
"BUI","Burundi","Burundi"
"CAM","Cambodia","Cambodia"
"CAO","Cameroon","Cameroon"
"CAN","Canada","Canada"
"CAP","Cape Verde","Cape Verde"
"CEN","Central African Republic","Central African Republic"
"CHA","Chad","Chad"
"CHL","Chile","Chile"
"CHN","China","China"
"COL","Colombia","Colombia"
"COM","Comoros","Comoros"
"CON","Congo","Congo"
"COS","Costa Rica","Costa Rica"
"CRO","Croatia","Croatia"
"CUB","Cuba","Cuba"
"CYP","Cyprus","Cyprus"
"CZR","Czech Republic","Czech Republic"
"DRC","Democratic Republic of the Congo","Congo, the Democratic Republic of the"
"DEN","Denmark","Denmark"
"DJI","Djibouti","Djibouti"
"DMA","Dominica","Dominica"
"DOM","Dominican Republic","Dominican Republic"
"ECU","Ecuador","Ecuador"
"EGY","Egypt","Egypt"
"SAL","El Salvador","El Salvador"
"EQG","Equatorial Guinea","Equatorial Guinea"
"ERI","Eritrea","Eritrea"
"EST","Estonia","Estonia"
"ETH","Ethiopia","Ethiopia"
"FSM","Federated States of Micronesia","Micronesia, Federated States of"
"FIJ","Fiji","Fiji"
