stabb,year,milexp,totalpop,milpers,urbanpop
AAB,1981,0.0,63.0,0.0,0.0
AAB,1982,0.0,63.0,0.0,0.0
AAB,1983,0.0,63.0,0.0,0.0
AAB,1984,0.0,64.0,0.0,0.0
AAB,1985,0.0,64.0,0.0,0.0
AAB,1986,0.0,64.0,0.0,0.0
AAB,1987,0.0,64.0,0.0,0.0
AAB,1988,0.0,64.0,0.0,0.0
AAB,1989,0.0,64.0,0.0,0.0
AAB,1990,3900.0,64.0,0.0,0.0
AAB,1991,0.0,64.0,0.0,0.0
AAB,1992,0.0,65.0,0.0,0.0
AAB,1993,0.0,66.0,0.0,0.0
AAB,1994,3000.0,66.0,0.0,0.0
AAB,1995,3000.0,68.0,0.0,0.0
AAB,1996,4000.0,69.0,0.0,0.0
AAB,1997,3000.0,67.0,0.0,0.0
AAB,1998,4000.0,67.0,0.0,0.0
AAB,1999,4000.0,67.0,0.0,0.0
AAB,2000,4000.0,68.0,0.0,0.0
AAB,2001,4000.0,77.0,0.0,0.0
AAB,2002,4000.0,78.0,0.0,0.0
AAB,2003,4000.0,80.0,0.0,0.0
AAB,2004,4000.0,81.0,0.0,0.0
AAB,2005,5000.0,83.0,0.0,0.0
AAB,2006,5000.0,85.0,0.0,0.0
AAB,2007,5000.0,87.0,0.0,0.0
AFG,1945,0.0,8449.0,90.0,211.0
AFG,1946,0.0,8549.0,90.0,225.0
AFG,1947,0.0,8649.0,100.0,240.0
AFG,1948,0.0,8751.0,90.0,254.0
AFG,1949,0.0,8854.0,75.0,269.0
AFG,1950,4654.0,8958.0,75.0,284.0
AFG,1951,5657.0,9093.0,60.0,299.0
AFG,1952,6730.0,9238.0,60.0,314.0
AFG,1953,9596.0,9393.0,41.0,330.0
AFG,1954,5012.0,9558.0,41.0,345.0
AFG,1955,6504.0,9734.0,43.0,361.0
AFG,1956,4814.0,9921.0,43.0,377.0
AFG,1957,7227.0,10119.0,43.0,393.0
AFG,1958,6252.0,10327.0,43.0,409.0
AFG,1959,11073.0,10546.0,50.0,426.0
AFG,1960,14240.0,10775.0,60.0,444.0
AFG,1961,14184.0,11014.0,110.0,462.0
AFG,1962,13125.0,11262.0,104.0,481.0
AFG,1963,14795.0,11521.0,110.0,500.0
AFG,1964,14544.0,11791.0,112.0,478.0
AFG,1965,13865.0,12071.0,97.0,456.0
AFG,1966,16819.0,12358.0,97.0,434.0
AFG,1967,17932.0,12652.0,95.0,412.0
AFG,1968,20067.0,12957.0,89.0,448.0
AFG,1969,20915.0,13280.0,89.0,483.0
AFG,1970,19469.0,13623.0,91.0,517.0
AFG,1971,29844.0,13984.0,91.0,554.0
AFG,1972,32289.0,14356.0,91.0,820.0
AFG,1973,32400.0,14724.0,91.0,889.0
AFG,1974,34733.0,15070.0,80.0,958.0
AFG,1975,40555.0,15378.0,130.0,1030.0
AFG,1976,42422.0,15653.0,142.0,1104.0
AFG,1977,52289.0,15892.0,143.0,1179.0
AFG,1978,59400.0,16064.0,110.0,1256.0
AFG,1979,58000.0,16128.0,89.0,1335.0
AFG,1980,238087.0,16063.0,43.0,1413.0
AFG,1981,326007.0,15862.0,45.0,1493.0
AFG,1982,326872.0,15549.0,55.0,1591.0
AFG,1983,296987.0,15177.0,46.0,1655.0
AFG,1984,210032.0,14814.0,46.0,1738.0
AFG,1985,286560.0,14519.0,47.0,1823.0
AFG,1986,0.0,14300.0,47.0,1801.0
AFG,1987,0.0,14165.0,50.0,1881.0
AFG,1988,0.0,14162.0,55.0,1958.0
AFG,1989,0.0,14346.0,55.0,1995.0
AFG,1990,430000.0,14754.0,58.0,2162.0
AFG,1991,0.0,15403.0,45.0,2343.0
AFG,1992,0.0,16276.0,45.0,2540.0
AFG,1993,0.0,17322.0,45.0,2753.0
AFG,1994,0.0,18470.0,45.0,2983.0
AFG,1995,200000.0,19661.0,0.0,3118.0
AFG,1996,208000.0,20883.0,0.0,3260.0
AFG,1997,209000.0,22132.0,0.0,3408.0
AFG,1998,255000.0,21354.0,0.0,3563.0
AFG,1999,250000.0,21923.0,400.0,3724.0
AFG,2000,250000.0,22720.0,400.0,3937.0
AFG,2001,245000.0,22080.0,0.0,4162.0
AFG,2002,0.0,22930.0,50.0,4354.0
AFG,2003,0.0,22842.0,60.0,4555.0
AFG,2004,121000.0,22753.0,43.0,4765.0
AFG,2005,116000.0,22665.0,27.0,4985.0
AFG,2006,120000.0,22576.0,27.0,5215.0
AFG,2007,153000.0,22488.0,50.0,5456.0
ALB,1945,10254.0,1122.0,60.0,0.0
ALB,1946,11946.0,1138.0,60.0,0.0
ALB,1947,12458.0,1154.0,60.0,0.0
ALB,1948,13874.0,1164.0,60.0,0.0
ALB,1949,15760.0,1183.0,65.0,0.0
ALB,1950,18865.0,1215.0,60.0,0.0
ALB,1951,20011.0,1242.0,55.0,0.0
ALB,1952,20459.0,1270.0,61.0,0.0
ALB,1953,22779.0,1302.0,53.0,0.0
ALB,1954,28305.0,1340.0,41.0,100.0
ALB,1955,31544.0,1379.0,39.0,103.0
ALB,1956,34268.0,1420.0,37.0,108.0
ALB,1957,37541.0,1462.0,33.0,112.0
ALB,1958,40027.0,1507.0,31.0,117.0
ALB,1959,42029.0,1556.0,27.0,122.0
ALB,1960,52458.0,1611.0,27.0,127.0
ALB,1961,59236.0,1660.0,50.0,132.0
ALB,1962,61663.0,1712.0,50.0,137.0
ALB,1963,72019.0,1764.0,52.0,143.0
ALB,1964,82560.0,1817.0,52.0,149.0
ALB,1965,83042.0,1870.0,52.0,155.0
ALB,1966,91761.0,1923.0,52.0,162.0
ALB,1967,91769.0,1965.0,52.0,169.0
ALB,1968,96803.0,2019.0,52.0,176.0
ALB,1969,94832.0,2080.0,52.0,183.0
ALB,1970,98041.0,2136.0,52.0,190.0
ALB,1971,115619.0,2187.0,52.0,194.0
ALB,1972,117214.0,2242.0,52.0,199.0
ALB,1973,124830.0,2294.0,52.0,204.0
ALB,1974,125194.0,2347.0,53.0,209.0
ALB,1975,131878.0,2401.0,52.0,222.0
ALB,1976,135621.0,2454.0,52.0,227.0
ALB,1977,137905.0,2508.0,45.0,232.0
ALB,1978,154359.0,2563.0,45.0,238.0
ALB,1979,167715.0,2617.0,45.0,243.0
ALB,1980,171453.0,2670.0,46.0,247.0
ALB,1981,188300.0,2724.0,41.0,225.0
ALB,1982,156763.0,2780.0,42.0,202.0
ALB,1983,130560.0,2838.0,42.0,206.0
ALB,1984,130000.0,2897.0,41.0,210.0
ALB,1985,188890.0,2957.0,40.0,215.0
ALB,1986,168800.0,3016.0,42.0,223.0
ALB,1987,196360.0,3076.0,42.0,225.0
ALB,1988,157000.0,3138.0,42.0,232.0
ALB,1989,167300.0,3199.0,40.0,239.0
ALB,1990,171200.0,3256.0,48.0,244.0
ALB,1991,103190.0,3255.0,40.0,255.0
ALB,1992,34700.0,3363.0,65.0,267.0
ALB,1993,105000.0,3485.0,65.0,278.0
ALB,1994,97500.0,3547.0,65.0,290.0
ALB,1995,89000.0,3609.0,52.0,301.0
ALB,1996,103000.0,3650.0,52.0,313.0
ALB,1997,94000.0,3731.0,52.0,324.0
ALB,1998,102000.0,3119.0,20.0,336.0
ALB,1999,140000.0,3113.0,18.0,347.0
ALB,2000,113000.0,3113.0,54.0,359.0
ALB,2001,106000.0,3074.0,27.0,370.0
ALB,2002,59000.0,3093.0,27.0,382.0
ALB,2003,76000.0,3111.0,22.0,393.0
ALB,2004,105000.0,3127.0,21.0,403.0
ALB,2005,116000.0,3142.0,21.0,413.0
ALB,2006,141000.0,3151.0,22.0,423.0
ALB,2007,198000.0,3161.0,11.0,434.0
ALG,1962,65000.0,10920.0,45.0,1201.0
ALG,1963,79400.0,11205.0,70.0,1296.0
ALG,1964,99251.0,11675.0,65.0,1398.0
ALG,1965,99251.0,11923.0,60.0,1507.0
ALG,1966,99251.0,12661.0,75.0,1625.0
ALG,1967,99251.0,13078.0,75.0,1754.0
ALG,1968,99251.0,13495.0,75.0,1891.0
ALG,1969,99251.0,13912.0,80.0,2040.0
ALG,1970,99251.0,13746.0,80.0,2190.0
ALG,1971,99470.0,14177.0,80.0,2343.0
ALG,1972,111512.0,14612.0,80.0,2481.0
ALG,1973,137657.0,15065.0,80.0,2625.0
ALG,1974,260237.0,15533.0,80.0,2763.0
ALG,1975,309322.0,16018.0,80.0,2808.0
ALG,1976,385839.0,16521.0,85.0,2947.0
ALG,1977,464711.0,17058.0,75.0,3082.0
ALG,1978,601562.0,17626.0,76.0,3351.0
ALG,1979,727349.0,18104.0,88.0,3620.0
ALG,1980,890060.0,18666.0,101.0,3889.0
ALG,1981,811620.0,19246.0,101.0,4158.0
ALG,1982,848032.0,19857.0,120.0,4427.0
ALG,1983,935023.0,20516.0,130.0,4695.0
ALG,1984,930440.0,21256.0,170.0,4964.0
ALG,1985,953300.0,21850.0,170.0,5233.0
ALG,1986,1160000.0,22520.0,180.0,5502.0
ALG,1987,1200000.0,23021.0,170.0,5771.0
ALG,1988,1050000.0,23719.0,126.0,6040.0
ALG,1989,854000.0,24324.0,126.0,6309.0
ALG,1990,904000.0,25022.0,126.0,6578.0
ALG,1991,660000.0,25643.0,126.0,6847.0
ALG,1992,1900000.0,26271.0,126.0,7116.0
ALG,1993,1119000.0,26894.0,126.0,7384.0
ALG,1994,1306000.0,27496.0,126.0,7653.0
ALG,1995,1427000.0,28060.0,120.0,7922.0
ALG,1996,1840000.0,28566.0,119.0,8191.0
ALG,1997,2114000.0,29050.0,124.0,8460.0
ALG,1998,3125000.0,30081.0,120.0,8729.0
ALG,1999,3086000.0,30774.0,120.0,8978.0
ALG,2000,2989000.0,31471.0,124.0,9213.0
ALG,2001,3149000.0,30872.0,124.0,9454.0
ALG,2002,2098000.0,31332.0,136.0,9702.0
ALG,2003,2206000.0,31848.0,127.0,9956.0
ALG,2004,2805000.0,32364.0,132.0,10217.0
ALG,2005,2877000.0,32906.0,137.0,10471.0
ALG,2006,3096000.0,33481.0,138.0,10730.0
ALG,2007,4270000.0,34096.0,138.0,10996.0
AND,1993,0.0,63.0,0.0,0.0
AND,1994,0.0,65.0,0.0,0.0
AND,1995,0.0,68.0,0.0,0.0
AND,1996,0.0,71.0,0.0,0.0
AND,1997,0.0,74.0,0.0,0.0
AND,1998,0.0,72.0,0.0,0.0
